departamento,C_CODI_AGRUPOL,AGRUPACION,TOTAL_VOTOS,POR_VALIDOS,POR_EMITIDOS,NOMBREe_CANDIDATO,updated,avance
AMAZONAS,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,106279,64.798,60.649,JOSE PEDRO CASTILLO TERRONES,2021-06-07T18:40:00Z,93.4604
AMAZONAS,00000007,FUERZA POPULAR,57737,35.202000000000005,32.948,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-07T18:40:00Z,93.4604
ANCASH,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,345199,58.452999999999996,53.655,JOSE PEDRO CASTILLO TERRONES,2021-06-07T18:40:00Z,93.4604
ANCASH,00000007,FUERZA POPULAR,245356,41.547,38.136,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-07T18:40:00Z,93.4604
APURIMAC,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,173452,81.477,76.77799999999999,JOSE PEDRO CASTILLO TERRONES,2021-06-07T18:40:00Z,93.4604
APURIMAC,00000007,FUERZA POPULAR,39432,18.523,17.454,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-07T18:40:00Z,93.4604
AREQUIPA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,553405,64.86,61.175000000000004,JOSE PEDRO CASTILLO TERRONES,2021-06-07T18:40:00Z,93.4604
AREQUIPA,00000007,FUERZA POPULAR,299821,35.14,33.143,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-07T18:40:00Z,93.4604
AYACUCHO,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,224053,82.01,77.829,JOSE PEDRO CASTILLO TERRONES,2021-06-07T18:40:00Z,93.4604
AYACUCHO,00000007,FUERZA POPULAR,49150,17.99,17.073,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-07T18:40:00Z,93.4604
CAJAMARCA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,507034,71.289,66.79400000000001,JOSE PEDRO CASTILLO TERRONES,2021-06-07T18:40:00Z,93.4604
CAJAMARCA,00000007,FUERZA POPULAR,204208,28.711000000000002,26.901,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-07T18:40:00Z,93.4604
CUSCO,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,565358,82.98100000000001,78.277,JOSE PEDRO CASTILLO TERRONES,2021-06-07T18:40:00Z,93.4604
CUSCO,00000007,FUERZA POPULAR,115952,17.019000000000002,16.054000000000002,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-07T18:40:00Z,93.4604
HUANCAVELICA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,151446,85.23100000000001,80.87899999999999,JOSE PEDRO CASTILLO TERRONES,2021-06-07T18:40:00Z,93.4604
HUANCAVELICA,00000007,FUERZA POPULAR,26242,14.769,14.014,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-07T18:40:00Z,93.4604
HUANUCO,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,249561,67.776,63.273,JOSE PEDRO CASTILLO TERRONES,2021-06-07T18:40:00Z,93.4604
HUANUCO,00000007,FUERZA POPULAR,118651,32.224000000000004,30.083,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-07T18:40:00Z,93.4604
ICA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,231808,47.512,44.913999999999994,JOSE PEDRO CASTILLO TERRONES,2021-06-07T18:40:00Z,93.4604
ICA,00000007,FUERZA POPULAR,256085,52.488,49.618,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-07T18:40:00Z,93.4604
