departamento,CCODI_UBIGEO,CONTABILIZA,CONT_NORMAL,IMPUGNADA,ERROR_MAT,MESAS_INSTALADAS,ACTAS_PROCESADAS,SOL_NULIDAD,ILEGIBLE,PENDIENTE,OTRAS_OBS,SIN_DATOS,CONT_ANULADA,POR_PROCESAR,EXTRAVIADA,SINIESTRADA,INCOMPLETA,SIN_FIRMA,A_INSTALAR,MESAS_NO_INST,FUSIONADAS,NTOTAL_AUTO,MESAS_HABILES,TOT_CIUDADANOS_VOTARON,ELECTORES_HABIL,ELECTORES_HABIL_50,TOTAL_JEE,updated,avance
AMAZONAS,010000,1013,1013,4,5,1025,1025,0,0,80,1,0,0,80,0,0,1,1,1105,0,0,0,1105,182137,281209,140624,12,2021-06-07T23:18:00Z,93.87259999999999
ANCASH,020000,3077,3077,4,10,3102,3102,0,1,0,5,0,0,0,0,0,1,4,3102,0,0,0,3102,643532,879008,439551,25,2021-06-07T23:18:00Z,93.87259999999999
APURIMAC,030000,1117,1117,4,1,1125,1125,0,0,0,1,0,0,0,0,0,0,2,1125,0,0,0,1125,225741,313807,156921,8,2021-06-07T23:18:00Z,93.87259999999999
AREQUIPA,040000,3915,3915,21,4,3950,3950,0,0,0,3,0,0,0,0,0,2,5,3950,0,0,0,3950,904750,1135131,567595,35,2021-06-07T23:18:00Z,93.87259999999999
AYACUCHO,050000,1526,1526,2,3,1535,1535,0,0,169,2,0,0,169,0,0,0,2,1704,0,0,0,1704,305210,423464,211758,9,2021-06-07T23:18:00Z,93.87259999999999
CAJAMARCA,060000,3800,3800,2,12,3826,3826,0,0,2,6,0,0,2,0,0,1,5,3828,0,0,0,3828,759101,1095595,547828,26,2021-06-07T23:18:00Z,93.87259999999999
CUSCO,070000,3271,3271,6,4,3283,3283,0,0,243,0,0,0,243,0,0,2,0,3526,0,0,0,3526,728929,952933,476492,12,2021-06-07T23:18:00Z,93.87259999999999
HUANCAVELICA,080000,1005,1005,5,1,1013,1013,0,0,81,1,0,0,81,0,0,0,1,1094,0,0,0,1094,191053,274792,137418,8,2021-06-07T23:18:00Z,93.87259999999999
HUANUCO,090000,2046,2042,3,1,2051,2051,0,0,0,0,0,4,0,0,0,1,0,2051,0,0,0,2051,404200,584929,292486,5,2021-06-07T23:18:00Z,93.87259999999999
ICA,100000,2204,2204,7,3,2223,2223,0,0,0,6,0,0,0,0,0,1,2,2223,0,0,0,2223,516115,645683,322852,19,2021-06-07T23:18:00Z,93.87259999999999
JUNIN,110000,3292,3292,9,11,3328,3328,0,0,97,3,0,0,97,0,0,6,7,3425,0,0,0,3425,707654,948020,474039,36,2021-06-07T23:18:00Z,93.87259999999999
LA LIBERTAD,120000,4787,4787,18,16,4852,4852,0,8,0,12,0,0,0,0,0,4,7,4852,0,0,0,4852,1048378,1410135,705086,65,2021-06-07T23:18:00Z,93.87259999999999
LAMBAYEQUE,130000,3316,3316,7,4,3333,3333,0,1,0,1,0,0,0,0,0,2,2,3333,0,0,0,3333,742181,972729,486373,17,2021-06-07T23:18:00Z,93.87259999999999
LIMA,140000,27297,27297,273,209,27942,27942,1,17,0,80,0,0,0,0,0,34,31,27942,0,0,0,27942,6477986,8129590,4064838,645,2021-06-07T23:18:00Z,93.87259999999999
LORETO,150000,2024,2024,8,13,2065,2065,0,2,325,6,0,0,327,0,0,5,7,2392,0,0,0,2392,382896,596128,298073,41,2021-06-07T23:18:00Z,93.87259999999999
MADRE DE DIOS,160000,363,363,2,2,369,369,0,0,27,1,0,0,27,0,0,0,1,396,0,0,0,396,79353,106809,53406,6,2021-06-07T23:18:00Z,93.87259999999999
MOQUEGUA,170000,521,521,2,0,524,524,0,0,0,1,0,0,0,0,0,0,0,524,0,0,0,524,115600,147489,73749,3,2021-06-07T23:18:00Z,93.87259999999999
PASCO,180000,606,606,1,0,608,608,0,0,87,0,0,0,87,0,0,0,1,695,0,0,0,695,120260,174438,87221,2,2021-06-07T23:18:00Z,93.87259999999999
PIURA,190000,4723,4723,20,19,4811,4811,0,8,0,25,0,0,0,0,0,3,13,4811,0,0,0,4811,1032431,1370289,685161,88,2021-06-07T23:18:00Z,93.87259999999999
PUNO,200000,3149,3149,3,1,3163,3163,0,1,0,3,0,0,0,0,0,1,5,3163,0,0,0,3163,753448,917865,458962,14,2021-06-07T23:18:00Z,93.87259999999999
SAN MARTIN,210000,2167,2167,7,6,2188,2188,0,0,0,7,0,0,0,0,0,0,1,2188,0,0,0,2188,460468,630340,315190,21,2021-06-07T23:18:00Z,93.87259999999999
TACNA,220000,963,963,3,5,974,974,0,0,0,0,0,0,0,0,0,0,3,974,0,0,0,974,221978,279720,139868,11,2021-06-07T23:18:00Z,93.87259999999999
TUMBES,230000,566,566,0,5,574,574,0,0,0,1,0,0,0,0,0,0,2,574,0,0,0,574,129688,165623,82815,8,2021-06-07T23:18:00Z,93.87259999999999
CALLAO,240000,2700,2700,13,18,2754,2754,0,5,0,11,0,0,0,0,0,4,3,2754,0,0,0,2754,642766,808366,404184,54,2021-06-07T23:18:00Z,93.87259999999999
UCAYALI,250000,1286,1286,5,7,1317,1317,0,3,0,5,0,0,0,0,0,3,8,1317,0,0,0,1317,263424,380694,190350,31,2021-06-07T23:18:00Z,93.87259999999999
