departamento,AGRUPACION,TOTAL_VOTOS,POR_EMITIDOS,updated,avance
AMAZONAS,TOTAL DE VOTOS VÁLIDOS,168266,93.615,2021-06-07T20:21:00Z,93.4734
AMAZONAS,VOTOS EN BLANCO,1656,0.921,2021-06-07T20:21:00Z,93.4734
AMAZONAS,VOTOS NULOS,9820,5.463,2021-06-07T20:21:00Z,93.4734
AMAZONAS,TOTAL DE VOTOS EMITIDOS,179742,100,2021-06-07T20:21:00Z,93.4734
ANCASH,TOTAL DE VOTOS VÁLIDOS,590555,91.79,2021-06-07T20:21:00Z,93.4734
ANCASH,VOTOS EN BLANCO,6923,1.076,2021-06-07T20:21:00Z,93.4734
ANCASH,VOTOS NULOS,45895,7.133,2021-06-07T20:21:00Z,93.4734
ANCASH,TOTAL DE VOTOS EMITIDOS,643373,100,2021-06-07T20:21:00Z,93.4734
APURIMAC,TOTAL DE VOTOS VÁLIDOS,212884,94.232,2021-06-07T20:21:00Z,93.4734
APURIMAC,VOTOS EN BLANCO,2338,1.035,2021-06-07T20:21:00Z,93.4734
APURIMAC,VOTOS NULOS,10692,4.7330000000000005,2021-06-07T20:21:00Z,93.4734
APURIMAC,TOTAL DE VOTOS EMITIDOS,225914,100,2021-06-07T20:21:00Z,93.4734
AREQUIPA,TOTAL DE VOTOS VÁLIDOS,853226,94.318,2021-06-07T20:21:00Z,93.4734
AREQUIPA,VOTOS EN BLANCO,3558,0.393,2021-06-07T20:21:00Z,93.4734
AREQUIPA,VOTOS NULOS,47839,5.288,2021-06-07T20:21:00Z,93.4734
AREQUIPA,TOTAL DE VOTOS EMITIDOS,904623,100,2021-06-07T20:21:00Z,93.4734
AYACUCHO,TOTAL DE VOTOS VÁLIDOS,274871,94.908,2021-06-07T20:21:00Z,93.4734
AYACUCHO,VOTOS EN BLANCO,2236,0.772,2021-06-07T20:21:00Z,93.4734
AYACUCHO,VOTOS NULOS,12512,4.319999999999999,2021-06-07T20:21:00Z,93.4734
AYACUCHO,TOTAL DE VOTOS EMITIDOS,289619,100,2021-06-07T20:21:00Z,93.4734
CAJAMARCA,TOTAL DE VOTOS VÁLIDOS,711242,93.695,2021-06-07T20:21:00Z,93.4734
CAJAMARCA,VOTOS EN BLANCO,7590,1,2021-06-07T20:21:00Z,93.4734
CAJAMARCA,VOTOS NULOS,40269,5.305,2021-06-07T20:21:00Z,93.4734
CAJAMARCA,TOTAL DE VOTOS EMITIDOS,759101,100,2021-06-07T20:21:00Z,93.4734
CUSCO,TOTAL DE VOTOS VÁLIDOS,681310,94.331,2021-06-07T20:21:00Z,93.4734
CUSCO,VOTOS EN BLANCO,5006,0.693,2021-06-07T20:21:00Z,93.4734
CUSCO,VOTOS NULOS,35936,4.976000000000001,2021-06-07T20:21:00Z,93.4734
CUSCO,TOTAL DE VOTOS EMITIDOS,722252,100,2021-06-07T20:21:00Z,93.4734
HUANCAVELICA,TOTAL DE VOTOS VÁLIDOS,179872,94.88799999999999,2021-06-07T20:21:00Z,93.4734
HUANCAVELICA,VOTOS EN BLANCO,1829,0.965,2021-06-07T20:21:00Z,93.4734
HUANCAVELICA,VOTOS NULOS,7861,4.146999999999999,2021-06-07T20:21:00Z,93.4734
HUANCAVELICA,TOTAL DE VOTOS EMITIDOS,189562,100,2021-06-07T20:21:00Z,93.4734
HUANUCO,TOTAL DE VOTOS VÁLIDOS,371040,93.33,2021-06-07T20:21:00Z,93.4734
HUANUCO,VOTOS EN BLANCO,3775,0.9500000000000001,2021-06-07T20:21:00Z,93.4734
HUANUCO,VOTOS NULOS,22740,5.72,2021-06-07T20:21:00Z,93.4734
HUANUCO,TOTAL DE VOTOS EMITIDOS,397555,100,2021-06-07T20:21:00Z,93.4734
ICA,TOTAL DE VOTOS VÁLIDOS,487893,94.532,2021-06-07T20:21:00Z,93.4734
ICA,VOTOS EN BLANCO,3149,0.61,2021-06-07T20:21:00Z,93.4734
ICA,VOTOS NULOS,25073,4.858,2021-06-07T20:21:00Z,93.4734
ICA,TOTAL DE VOTOS EMITIDOS,516115,100,2021-06-07T20:21:00Z,93.4734
JUNIN,TOTAL DE VOTOS VÁLIDOS,657128,93.465,2021-06-07T20:21:00Z,93.4734
JUNIN,VOTOS EN BLANCO,4991,0.71,2021-06-07T20:21:00Z,93.4734
JUNIN,VOTOS NULOS,40953,5.824999999999999,2021-06-07T20:21:00Z,93.4734
JUNIN,TOTAL DE VOTOS EMITIDOS,703072,100,2021-06-07T20:21:00Z,93.4734
LA LIBERTAD,TOTAL DE VOTOS VÁLIDOS,967912,92.403,2021-06-07T20:21:00Z,93.4734
LA LIBERTAD,VOTOS EN BLANCO,7630,0.728,2021-06-07T20:21:00Z,93.4734
LA LIBERTAD,VOTOS NULOS,71943,6.867999999999999,2021-06-07T20:21:00Z,93.4734
LA LIBERTAD,TOTAL DE VOTOS EMITIDOS,1047485,100,2021-06-07T20:21:00Z,93.4734
