departamento,provincia,distrito,ELECTORES_HABIL,TOT_CIUDADANOS_VOTARON,POR_CIUDADANOS_VOTARON,POR_ACTAS_CONTABILIZADAS,POR_ACTAS_PROCESADAS,ACTAS_PROCESADAS,POR_PROCESAR,CONTABILIZA,POR_POR_PROCESAR,N_CANDIDATOS,updated,avance
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,20519,14781,72.036,98.63,100,73,0,72,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,ASUNCION,285,158,55.439,100,100,1,0,1,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,BALSAS,1012,657,64.921,100,100,4,0,4,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,CHETO,587,427,72.74300000000001,100,100,2,0,2,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,CHILIQUIN,732,383,52.322,100,100,3,0,3,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,1523,695,45.634,100,100,6,0,6,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,GRANADA,427,295,69.087,100,100,2,0,2,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,HUANCAS,418,328,78.46900000000001,100,100,2,0,2,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,LA JALCA,3919,2891,73.769,100,100,15,0,15,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,2580,1671,64.76700000000001,100,100,9,0,9,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,LEVANTO,891,685,76.88,100,100,3,0,3,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,MAGDALENA,720,544,75.556,100,100,3,0,3,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,814,533,65.479,100,100,3,0,3,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,1889,1399,74.06,100,100,7,0,7,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,MONTEVIDEO,591,422,71.40400000000001,100,100,2,0,2,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,OLLEROS,378,250,66.13799999999999,100,100,2,0,2,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,QUINJALCA,780,463,59.358999999999995,100,100,3,0,3,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,299,213,71.23700000000001,100,100,1,0,1,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,524,397,75.763,100,100,2,0,2,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,SOLOCO,1260,825,65.476,100,100,5,0,5,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,SONCHE,304,199,65.46100000000001,100,100,2,0,2,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,LA PECA,7442,4775,64.163,100,100,28,0,28,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,ARAMANGO,8226,5330,64.795,96.774,100,31,0,30,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,COPALLIN,4212,2964,70.36999999999999,100,100,15,0,15,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,EL PARCO,1303,977,74.98100000000001,100,100,5,0,5,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,BAGUA,18422,13662,74.161,98.438,100,64,0,63,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,IMAZA,20340,9968,49.007,92.405,93.67099999999999,74,5,73,6.329,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,JUMBILLA,863,598,69.293,100,100,3,0,3,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,COROSHA,675,500,74.074,100,100,3,0,3,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,CUISPES,622,436,70.096,100,100,3,0,3,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,CHISQUILLA,407,306,75.184,100,100,2,0,2,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,CHURUJA,355,250,70.423,100,100,2,0,2,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,FLORIDA,4510,3246,71.973,100,100,16,0,16,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,RECTA,288,191,66.319,100,100,1,0,1,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,SAN CARLOS,442,329,74.43400000000001,100,100,2,0,2,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,SHIPASBAMBA,1378,935,67.85199999999999,100,100,5,0,5,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,VALERA,872,621,71.21600000000001,100,100,3,0,3,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,YAMBRASBAMBA,4518,3061,67.751,100,100,16,0,16,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,JAZAN,5987,4103,68.532,100,100,21,0,21,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,LAMUD,1682,1150,68.371,100,100,6,0,6,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,CAMPORREDONDO,4413,3095,70.134,100,100,15,0,15,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,COCABAMBA,1446,674,46.611,100,100,6,0,6,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,COLCAMAR,1701,1157,68.019,100,100,6,0,6,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,CONILA,1497,988,65.99900000000001,100,100,5,0,5,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,INGUILPATA,491,338,68.839,100,100,2,0,2,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,LONGUITA,759,546,71.93700000000001,100,100,3,0,3,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,LONYA CHICO,790,454,57.468,100,100,3,0,3,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,LUYA,2953,2154,72.94300000000001,100,100,11,0,11,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,LUYA VIEJO,328,251,76.524,100,100,2,0,2,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,MARIA,735,486,66.12199999999999,100,100,3,0,3,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,OCALLI,2428,1555,64.04400000000001,100,100,9,0,9,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,OCUMAL,2425,1451,59.835,90,100,10,0,9,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,PISUQUIA,3799,1626,42.800999999999995,100,100,16,0,16,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,SAN CRISTOBAL,530,365,68.868,100,100,2,0,2,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,596,388,65.101,100,100,2,0,2,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,SAN JERONIMO,714,397,55.602000000000004,100,100,3,0,3,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,473,292,61.734,100,100,2,0,2,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,SANTA CATALINA,1301,689,52.958999999999996,100,100,5,0,5,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,SANTO TOMAS,2588,1490,57.573,100,100,10,0,10,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,TINGO,1106,802,72.51400000000001,100,100,4,0,4,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,TRITA,959,711,74.14,100,100,4,0,4,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,PROVIDENCIA,1079,596,55.236000000000004,100,100,4,0,4,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,3502,2378,67.90400000000001,92.30799999999999,100,13,0,12,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,603,464,76.94900000000001,100,100,3,0,3,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,1764,983,55.726000000000006,100,100,6,0,6,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,2304,1614,70.05199999999999,100,100,8,0,8,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,1355,836,61.697,100,100,5,0,5,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,1365,1002,73.40700000000001,100,100,5,0,5,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUC,572,344,60.14,100,100,2,0,2,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,1532,1116,72.846,100,100,6,0,6,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,6088,3500,57.49,88.462,92.30799999999999,24,2,23,7.691999999999999,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,491,350,71.283,100,100,2,0,2,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,407,250,61.425000000000004,100,100,2,0,2,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,1820,1008,55.385,100,100,7,0,7,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CONDORCANQUI,NIEVA,18156,7778,42.839999999999996,94.118,97.059,66,2,64,2.941,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CONDORCANQUI,RIO SANTIAGO,0,0,0,0,0,0,36,0,100,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CONDORCANQUI,EL CENEPA,565,381,67.43400000000001,5.882,5.882,2,32,2,94.118,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,UTCUBAMBA,BAGUA GRANDE,39392,27242,69.15599999999999,99.259,100,135,0,134,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,UTCUBAMBA,CAJARURO,20283,13883,68.44600000000001,98.63,100,73,0,72,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,UTCUBAMBA,CUMBA,6268,4265,68.04400000000001,96,100,25,0,24,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,UTCUBAMBA,EL MILAGRO,4212,2951,70.062,100,100,15,0,15,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,UTCUBAMBA,JAMALCA,5373,3672,68.342,100,100,19,0,19,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,UTCUBAMBA,LONYA GRANDE,7167,4976,69.429,100,100,24,0,24,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,UTCUBAMBA,YAMON,2636,1611,61.115,100,100,9,0,9,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,HUARAZ,HUARAZ,50781,39381,77.551,100,100,174,0,174,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,HUARAZ,INDEPENDENCIA,53111,41626,78.37499999999999,99.44400000000002,100,180,0,179,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,HUARAZ,COCHABAMBA,1555,794,51.061,100,100,6,0,6,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,HUARAZ,COLCABAMBA,282,175,62.056999999999995,100,100,1,0,1,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,HUARAZ,HUANCHAY,1671,1048,62.717,100,100,7,0,7,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,HUARAZ,JANGAS,4176,3454,82.71100000000001,100,100,15,0,15,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,HUARAZ,LA LIBERTAD,1170,783,66.923,100,100,4,0,4,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,HUARAZ,OLLEROS,2601,1988,76.432,100,100,9,0,9,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,HUARAZ,PAMPAS,1066,650,60.976,100,100,4,0,4,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,HUARAZ,PARIACOTO,3996,2822,70.621,100,100,14,0,14,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,HUARAZ,PIRA,3571,2355,65.94800000000001,100,100,13,0,13,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,HUARAZ,TARICA,5080,4087,80.453,100,100,19,0,19,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,AIJA,AIJA,1587,1091,68.74600000000001,100,100,6,0,6,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,AIJA,CORIS,1421,860,60.521,100,100,5,0,5,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,AIJA,HUACLLAN,389,263,67.609,100,100,2,0,2,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,AIJA,LA MERCED,1735,1287,74.17899999999999,100,100,8,0,8,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,AIJA,SUCCHA,685,444,64.818,100,100,3,0,3,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,BOLOGNESI,CHIQUIAN,3095,1924,62.165000000000006,100,100,11,0,11,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,BOLOGNESI,ABELARDO PARDO LEZAMETA,229,123,53.712,100,100,1,0,1,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,BOLOGNESI,AQUIA,1723,1105,64.13199999999999,100,100,6,0,6,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,BOLOGNESI,CAJACAY,1427,1058,74.142,100,100,5,0,5,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,BOLOGNESI,HUAYLLACAYAN,1003,692,68.99300000000001,100,100,5,0,5,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,BOLOGNESI,HUASTA,1343,827,61.579,100,100,6,0,6,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,BOLOGNESI,MANGAS,427,246,57.611,100,100,2,0,2,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,BOLOGNESI,PACLLON,897,588,65.55199999999999,100,100,4,0,4,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI,226,138,61.062000000000005,100,100,1,0,1,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,BOLOGNESI,TICLLOS,473,285,60.254,100,100,2,0,2,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,BOLOGNESI,ANTONIO RAYMONDI,1079,709,65.709,100,100,4,0,4,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,BOLOGNESI,CANIS,297,136,45.791000000000004,100,100,1,0,1,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,BOLOGNESI,COLQUIOC,1638,1243,75.88499999999999,100,100,6,0,6,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,BOLOGNESI,LA PRIMAVERA,292,157,53.767,100,100,1,0,1,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,BOLOGNESI,HUALLANCA,4630,3187,68.834,100,100,16,0,16,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,CARHUAZ,CARHUAZ,11667,9110,78.083,97.561,100,41,0,40,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,CARHUAZ,ACOPAMPA,2011,1593,79.21400000000001,100,100,7,0,7,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,CARHUAZ,AMASHCA,1573,1267,80.54700000000001,100,100,6,0,6,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,CARHUAZ,ANTA,2095,1630,77.804,100,100,7,0,7,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,CARHUAZ,ATAQUERO,1531,1086,70.93400000000001,100,100,6,0,6,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,CARHUAZ,MARCARA,7919,6406,80.894,100,100,28,0,28,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,CARHUAZ,PARIAHUANCA,1250,993,79.44000000000001,100,100,5,0,5,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,CARHUAZ,SAN MIGUEL DE ACO,2100,1698,80.857,100,100,8,0,8,0,0,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,CARHUAZ,SHILLA,3166,2348,74.163,100,100,11,0,11,0,0,2021-06-08T00:54:00Z,94.10199999999999
