departamento,provincia,distrito,C_CODI_AGRUPOL,AGRUPACION,TOTAL_VOTOS,POR_VALIDOS,POR_EMITIDOS,NOMBREe_CANDIDATO,updated,avance
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,7463,55.574,50.49,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,00000007,FUERZA POPULAR,5966,44.426,40.363,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,ASUNCION,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,121,79.60499999999999,76.582,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,ASUNCION,00000007,FUERZA POPULAR,31,20.395,19.62,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,BALSAS,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,368,58.69200000000001,56.012,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,BALSAS,00000007,FUERZA POPULAR,259,41.308,39.422000000000004,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,CHETO,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,265,69.73700000000001,62.061,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,CHETO,00000007,FUERZA POPULAR,115,30.262999999999998,26.932,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,CHILIQUIN,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,166,46.499,43.342,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,CHILIQUIN,00000007,FUERZA POPULAR,191,53.501,49.869,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,311,47.773,44.748000000000005,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,00000007,FUERZA POPULAR,340,52.227000000000004,48.921,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,GRANADA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,187,67.754,63.39,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,GRANADA,00000007,FUERZA POPULAR,89,32.246,30.169,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,HUANCAS,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,159,50.158,48.476,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,HUANCAS,00000007,FUERZA POPULAR,158,49.842,48.171,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,LA JALCA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,2158,82.304,74.645,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,LA JALCA,00000007,FUERZA POPULAR,464,17.696,16.05,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,849,54.916,50.808,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,00000007,FUERZA POPULAR,697,45.083999999999996,41.712,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,LEVANTO,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,362,55.436,52.846999999999994,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,LEVANTO,00000007,FUERZA POPULAR,291,44.564,42.482,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,MAGDALENA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,342,66.537,62.868,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,MAGDALENA,00000007,FUERZA POPULAR,172,33.463,31.618000000000002,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,261,52.41,48.968,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,00000007,FUERZA POPULAR,237,47.59,44.465,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,780,59.77,55.754,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,00000007,FUERZA POPULAR,525,40.230000000000004,37.527,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,MONTEVIDEO,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,281,71.501,66.588,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,MONTEVIDEO,00000007,FUERZA POPULAR,112,28.499,26.54,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,OLLEROS,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,177,73.44400000000002,70.8,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,OLLEROS,00000007,FUERZA POPULAR,64,26.556,25.6,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,QUINJALCA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,356,82.40700000000001,76.89,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,QUINJALCA,00000007,FUERZA POPULAR,76,17.593,16.415,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,107,54.872,50.23500000000001,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,00000007,FUERZA POPULAR,88,45.12800000000001,41.315,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,238,62.141,59.949999999999996,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,00000007,FUERZA POPULAR,145,37.858999999999995,36.524,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,SOLOCO,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,512,65.979,62.061,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,SOLOCO,00000007,FUERZA POPULAR,264,34.021,32,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,SONCHE,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,98,52.406,49.246,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,SONCHE,00000007,FUERZA POPULAR,89,47.594,44.724000000000004,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,LA PECA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,2769,62.016,57.99,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,LA PECA,00000007,FUERZA POPULAR,1696,37.983999999999995,35.518,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,ARAMANGO,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,3243,65.107,60.843999999999994,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,ARAMANGO,00000007,FUERZA POPULAR,1738,34.893,32.608000000000004,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,COPALLIN,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,1940,69.113,65.452,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,COPALLIN,00000007,FUERZA POPULAR,867,30.887,29.251,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,EL PARCO,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,690,73.40400000000001,70.624,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
