departamento,provincia,distrito,AGRUPACION,TOTAL_VOTOS,POR_EMITIDOS,updated,avance
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,TOTAL DE VOTOS VÁLIDOS,13429,90.853,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,VOTOS EN BLANCO,117,0.7919999999999999,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,VOTOS NULOS,1235,8.355000000000002,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,TOTAL DE VOTOS EMITIDOS,14781,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,ASUNCION,TOTAL DE VOTOS VÁLIDOS,152,96.203,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,ASUNCION,VOTOS EN BLANCO,2,1.266,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,ASUNCION,VOTOS NULOS,4,2.5319999999999996,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,ASUNCION,TOTAL DE VOTOS EMITIDOS,158,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,BALSAS,TOTAL DE VOTOS VÁLIDOS,627,95.43400000000001,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,BALSAS,VOTOS EN BLANCO,4,0.609,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,BALSAS,VOTOS NULOS,26,3.957,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,BALSAS,TOTAL DE VOTOS EMITIDOS,657,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,CHETO,TOTAL DE VOTOS VÁLIDOS,380,88.99300000000001,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,CHETO,VOTOS EN BLANCO,5,1.171,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,CHETO,VOTOS NULOS,42,9.836,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,CHETO,TOTAL DE VOTOS EMITIDOS,427,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,CHILIQUIN,TOTAL DE VOTOS VÁLIDOS,357,93.21100000000001,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,CHILIQUIN,VOTOS EN BLANCO,0,0,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,CHILIQUIN,VOTOS NULOS,26,6.789000000000001,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,CHILIQUIN,TOTAL DE VOTOS EMITIDOS,383,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,TOTAL DE VOTOS VÁLIDOS,651,93.669,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,VOTOS EN BLANCO,3,0.43200000000000005,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,VOTOS NULOS,41,5.899,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,TOTAL DE VOTOS EMITIDOS,695,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,GRANADA,TOTAL DE VOTOS VÁLIDOS,276,93.559,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,GRANADA,VOTOS EN BLANCO,4,1.356,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,GRANADA,VOTOS NULOS,15,5.085,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,GRANADA,TOTAL DE VOTOS EMITIDOS,295,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,HUANCAS,TOTAL DE VOTOS VÁLIDOS,317,96.646,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,HUANCAS,VOTOS EN BLANCO,3,0.915,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,HUANCAS,VOTOS NULOS,8,2.4389999999999996,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,HUANCAS,TOTAL DE VOTOS EMITIDOS,328,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,LA JALCA,TOTAL DE VOTOS VÁLIDOS,2622,90.695,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,LA JALCA,VOTOS EN BLANCO,41,1.418,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,LA JALCA,VOTOS NULOS,228,7.887,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,LA JALCA,TOTAL DE VOTOS EMITIDOS,2891,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,TOTAL DE VOTOS VÁLIDOS,1546,92.519,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,VOTOS EN BLANCO,23,1.3760000000000001,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,VOTOS NULOS,102,6.103999999999999,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,TOTAL DE VOTOS EMITIDOS,1671,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,LEVANTO,TOTAL DE VOTOS VÁLIDOS,653,95.32799999999999,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,LEVANTO,VOTOS EN BLANCO,6,0.8760000000000001,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,LEVANTO,VOTOS NULOS,26,3.796,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,LEVANTO,TOTAL DE VOTOS EMITIDOS,685,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,MAGDALENA,TOTAL DE VOTOS VÁLIDOS,514,94.485,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,MAGDALENA,VOTOS EN BLANCO,9,1.6540000000000001,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,MAGDALENA,VOTOS NULOS,21,3.86,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,MAGDALENA,TOTAL DE VOTOS EMITIDOS,544,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,TOTAL DE VOTOS VÁLIDOS,498,93.433,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,VOTOS EN BLANCO,8,1.501,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,VOTOS NULOS,27,5.066,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,TOTAL DE VOTOS EMITIDOS,533,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,TOTAL DE VOTOS VÁLIDOS,1305,93.281,2021-06-08T00:54:00Z,94.10199999999999
