C_CODI_AGRUPOL,AGRUPACION,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,NOMBREe_CANDIDATO,updated,avance
00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,5927689,1,47.525000000000006,44.541,JOSE PEDRO CASTILLO TERRONES,2021-06-07T05:48:00Z,74.9552
00000007,FUERZA POPULAR,6545132,2,52.475,49.181,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-07T05:48:00Z,74.9552
00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,6784988,1,48.056999999999995,45.038000000000004,JOSE PEDRO CASTILLO TERRONES,2021-06-07T06:48:00Z,82.074699999999993
00000007,FUERZA POPULAR,7333518,2,51.943,48.679,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-07T06:48:00Z,82.074699999999993
00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,7339651,1,48.79500000000001,45.727000000000004,JOSE PEDRO CASTILLO TERRONES,2021-06-07T07:47:00Z,85.21920000000001
00000007,FUERZA POPULAR,7702032,2,51.205000000000005,47.985,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-07T07:47:00Z,85.21920000000001
00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,7673886,1,49.231,46.12800000000001,JOSE PEDRO CASTILLO TERRONES,2021-06-07T08:48:00Z,87.69369999999999
00000007,FUERZA POPULAR,7913727,2,50.769000000000005,47.57,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-07T08:48:00Z,87.69369999999999
00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,7910102,1,49.494,46.373999999999995,JOSE PEDRO CASTILLO TERRONES,2021-06-07T09:48:00Z,89.1899
00000007,FUERZA POPULAR,8071981,2,50.506,47.323,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-07T09:48:00Z,89.1899
00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,8029577,1,49.647,46.516999999999996,JOSE PEDRO CASTILLO TERRONES,2021-06-07T10:48:00Z,90.2024
00000007,FUERZA POPULAR,8143742,2,50.352999999999994,47.178000000000004,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-07T10:48:00Z,90.2024
00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,8119116,1,49.729000000000006,46.594,JOSE PEDRO CASTILLO TERRONES,2021-06-07T11:47:00Z,90.90920000000001
00000007,FUERZA POPULAR,8207598,2,50.271,47.102000000000004,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-07T11:47:00Z,90.90920000000001
00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,8198445,1,49.797000000000004,46.660000000000004,JOSE PEDRO CASTILLO TERRONES,2021-06-07T12:48:00Z,91.4582
00000007,FUERZA POPULAR,8265235,2,50.203,47.04,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-07T12:48:00Z,91.4582
00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,8268422,1,49.873,46.732000000000006,JOSE PEDRO CASTILLO TERRONES,2021-06-07T13:53:00Z,92.11120000000001
00000007,FUERZA POPULAR,8310588,2,50.127,46.97,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-07T13:53:00Z,92.11120000000001
00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,8287923,1,49.906,46.763000000000005,JOSE PEDRO CASTILLO TERRONES,2021-06-07T14:18:00Z,92.36269999999999
00000007,FUERZA POPULAR,8319012,2,50.094,46.939,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-07T14:18:00Z,92.36269999999999
00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,8314072,1,49.922000000000004,46.778000000000006,JOSE PEDRO CASTILLO TERRONES,2021-06-07T14:48:00Z,92.616
00000007,FUERZA POPULAR,8339898,2,50.078,46.924,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-07T14:48:00Z,92.616
00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,8332813,1,49.949999999999996,46.805,JOSE PEDRO CASTILLO TERRONES,2021-06-07T15:17:00Z,92.7043
00000007,FUERZA POPULAR,8349503,2,50.05,46.899,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-07T15:17:00Z,92.7043
00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,8354217,1,49.986,46.839,JOSE PEDRO CASTILLO TERRONES,2021-06-07T15:48:00Z,92.6914
00000007,FUERZA POPULAR,8358888,2,50.013999999999996,46.865,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-07T15:48:00Z,92.6914
00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,8399160,1,50.076,46.924,JOSE PEDRO CASTILLO TERRONES,2021-06-07T16:19:00Z,93.1166
00000007,FUERZA POPULAR,8373661,2,49.924,46.782000000000004,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-07T16:19:00Z,93.1166
00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,8418299,1,50.102000000000004,46.949,JOSE PEDRO CASTILLO TERRONES,2021-06-07T16:48:00Z,93.2356
00000007,FUERZA POPULAR,8384107,2,49.898,46.758,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-07T16:48:00Z,93.2356
00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,8433731,1,50.12500000000001,46.969,JOSE PEDRO CASTILLO TERRONES,2021-06-07T17:48:00Z,93.2863
00000007,FUERZA POPULAR,8391809,2,49.875,46.736000000000004,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-07T17:48:00Z,93.2863
00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,8457284,1,50.156,46.999,JOSE PEDRO CASTILLO TERRONES,2021-06-07T18:18:00Z,93.4334
00000007,FUERZA POPULAR,8404569,2,49.843999999999994,46.706,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-07T18:18:00Z,93.4334
