CCODI_UBIGEO,CONTABILIZA,CONT_NORMAL,IMPUGNADA,ERROR_MAT,MESAS_INSTALADAS,ACTAS_PROCESADAS,SOL_NULIDAD,ILEGIBLE,PENDIENTE,OTRAS_OBS,SIN_DATOS,CONT_ANULADA,POR_PROCESAR,EXTRAVIADA,SINIESTRADA,INCOMPLETA,SIN_FIRMA,A_INSTALAR,MESAS_NO_INST,FUSIONADAS,NTOTAL_AUTO,MESAS_HABILES,TOT_CIUDADANOS_VOTARON,ELECTORES_HABIL,ELECTORES_HABIL_50,TOTAL_JEE,updated,avance
000000,58137,58137,318,268,58964,58964,1,24,27037,104,0,0,27524,0,0,54,58,86488,0,0,0,86488,13308277,17096826,8548689,827,2021-06-07T05:48:00Z,74.9552
000000,66169,66169,400,316,67195,67195,1,33,19132,144,0,0,19293,0,0,63,69,86488,0,0,0,86488,15065072,19430856,9715770,1026,2021-06-07T06:48:00Z,82.074699999999993
000000,70827,70827,417,340,71935,71935,1,36,14431,164,0,0,14553,0,0,69,81,86488,0,0,0,86488,16051072,20773226,10386991,1108,2021-06-07T07:47:00Z,85.21920000000001
000000,73651,73651,422,345,74791,74791,1,39,11618,174,0,0,11697,0,0,72,87,86488,0,0,0,86488,16636132,21587263,10794035,1140,2021-06-07T08:48:00Z,87.69369999999999
000000,75701,75701,426,348,76863,76863,1,43,9576,175,0,0,9625,0,0,73,96,86488,0,0,0,86488,17057043,22171704,11086279,1162,2021-06-07T09:48:00Z,89.1899
000000,76713,76713,427,349,77882,77882,1,43,8585,177,0,0,8606,0,0,74,98,86488,0,0,0,86488,17261652,22463650,11232262,1169,2021-06-07T10:48:00Z,90.2024
000000,77503,77503,427,352,78684,78684,1,44,7753,178,0,0,7804,0,0,74,105,86488,0,0,0,86488,17425238,22693691,11347285,1181,2021-06-07T11:47:00Z,90.90920000000001
000000,78226,78226,429,356,79417,79417,1,44,7048,178,0,0,7071,0,0,74,109,86488,0,0,0,86488,17570573,22898547,11449721,1191,2021-06-07T12:48:00Z,91.4582
000000,78840,78840,432,361,80046,80046,1,46,6423,181,0,0,6442,0,0,75,110,86488,0,0,0,86488,17693255,23077770,11539338,1206,2021-06-07T13:53:00Z,92.11120000000001
000000,79017,79017,435,364,80232,80232,1,46,6242,181,0,0,6256,0,0,77,111,86488,0,0,0,86488,17723084,23129817,11565362,1215,2021-06-07T14:18:00Z,92.36269999999999
000000,79307,79307,435,365,80527,80527,1,46,5914,183,0,0,5961,0,0,77,113,86488,0,0,0,86488,17773339,23214051,11607483,1220,2021-06-07T14:48:00Z,92.616
000000,79480,79480,436,366,80705,80705,1,47,5760,185,0,0,5783,0,0,77,113,86488,0,0,0,86488,17803306,23262475,11631697,1225,2021-06-07T15:17:00Z,92.7043
000000,79690,79690,438,370,80927,80927,1,50,5535,186,0,0,5561,0,0,78,114,86488,0,0,0,86488,17836144,23321711,11661315,1237,2021-06-07T15:48:00Z,92.6914
000000,80105,80105,438,374,81350,81350,1,51,5112,188,0,0,5138,0,0,78,115,86488,0,0,0,86488,17899316,23441569,11721247,1245,2021-06-07T16:19:00Z,93.1166
000000,80278,80278,439,377,81529,81529,1,52,4948,189,0,0,4959,0,0,78,115,86488,0,0,0,86488,17930893,23492172,11746551,1251,2021-06-07T16:48:00Z,93.2356
000000,80449,80449,440,378,81707,81707,1,52,4769,190,0,0,4781,0,0,78,119,86488,0,0,0,86488,17955767,23539330,11770135,1258,2021-06-07T17:48:00Z,93.2863
000000,80700,80700,443,379,81964,81964,1,52,4502,190,0,0,4524,0,0,78,121,86488,0,0,0,86488,17994584,23611623,11806281,1264,2021-06-07T18:18:00Z,93.4334
