departamento,provincia,ELECTORES_HABIL,TOT_CIUDADANOS_VOTARON,POR_CIUDADANOS_VOTARON,POR_ACTAS_CONTABILIZADAS,POR_ACTAS_PROCESADAS,ACTAS_PROCESADAS,POR_PROCESAR,CONTABILIZA,POR_POR_PROCESAR,N_CANDIDATOS,updated,avance
AMAZONAS,CHACHAPOYAS,40452,28216,69.752,99.333,100,150,0,149,0,0,2021-06-08T12:52:00Z,94.78760000000001
AMAZONAS,BAGUA,59945,37676,62.85099999999999,96.396,97.748,217,5,214,2.252,0,2021-06-08T12:52:00Z,94.78760000000001
AMAZONAS,BONGARA,20917,14576,69.68499999999999,100,100,77,0,77,0,0,2021-06-08T12:52:00Z,94.78760000000001
AMAZONAS,LUYA,34793,21655,62.24,99.248,100,133,0,132,0,0,2021-06-08T12:52:00Z,94.78760000000001
AMAZONAS,RODRIGUEZ DE MENDOZA,22286,14195,63.69500000000001,97.647,100,85,0,83,0,0,2021-06-08T12:52:00Z,94.78760000000001
AMAZONAS,CONDORCANQUI,35951,15088,41.968,92.754,95.65199999999999,132,6,128,4.348,0,2021-06-08T12:52:00Z,94.78760000000001
AMAZONAS,UTCUBAMBA,85331,58600,68.67399999999999,99,100,300,0,297,0,0,2021-06-08T12:52:00Z,94.78760000000001
ANCASH,HUARAZ,129060,99163,76.835,99.776,100,446,0,445,0,0,2021-06-08T12:52:00Z,94.78760000000001
ANCASH,AIJA,5817,3945,67.818,100,100,24,0,24,0,0,2021-06-08T12:52:00Z,94.78760000000001
ANCASH,BOLOGNESI,18779,12418,66.127,100,100,71,0,71,0,0,2021-06-08T12:52:00Z,94.78760000000001
ANCASH,CARHUAZ,38383,30065,78.329,99.27,100,137,0,136,0,0,2021-06-08T12:52:00Z,94.78760000000001
ANCASH,CASMA,36561,28346,77.531,97.65599999999999,100,128,0,125,0,0,2021-06-08T12:52:00Z,94.78760000000001
ANCASH,CORONGO,5688,3835,67.423,100,100,24,0,24,0,0,2021-06-08T12:52:00Z,94.78760000000001
ANCASH,HUAYLAS,42086,30584,72.66999999999999,98.65799999999999,100,149,0,147,0,0,2021-06-08T12:52:00Z,94.78760000000001
ANCASH,HUARI,56493,36555,64.70700000000001,99.507,100,203,0,202,0,0,2021-06-08T12:52:00Z,94.78760000000001
ANCASH,MARISCAL LUZURIAGA,16100,10981,68.205,100,100,61,0,61,0,0,2021-06-08T12:52:00Z,94.78760000000001
ANCASH,PALLASCA,17769,10970,61.737,100,100,67,0,67,0,0,2021-06-08T12:52:00Z,94.78760000000001
ANCASH,POMABAMBA,18893,12911,68.337,100,100,69,0,69,0,0,2021-06-08T12:52:00Z,94.78760000000001
ANCASH,RECUAY,15788,11040,69.927,98.41300000000001,100,63,0,62,0,0,2021-06-08T12:52:00Z,94.78760000000001
ANCASH,SANTA,352541,266074,75.473,98.834,100,1201,0,1187,0,0,2021-06-08T12:52:00Z,94.78760000000001
ANCASH,SIHUAS,21439,14002,65.311,98.765,100,81,0,80,0,0,2021-06-08T12:52:00Z,94.78760000000001
ANCASH,YUNGAY,43592,32017,73.44700000000002,99.371,100,159,0,158,0,0,2021-06-08T12:52:00Z,94.78760000000001
ANCASH,ANTONIO RAYMONDI,10921,6227,57.019,100,100,40,0,40,0,0,2021-06-08T12:52:00Z,94.78760000000001
ANCASH,CARLOS FERMIN FITZCARRALD,14010,9127,65.146,100,100,51,0,51,0,0,2021-06-08T12:52:00Z,94.78760000000001
ANCASH,ASUNCION,5968,4083,68.415,100,100,21,0,21,0,0,2021-06-08T12:52:00Z,94.78760000000001
