departamento,provincia,C_CODI_AGRUPOL,AGRUPACION,TOTAL_VOTOS,POR_VALIDOS,POR_EMITIDOS,NOMBREe_CANDIDATO,updated,avance
AMAZONAS,CHACHAPOYAS,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,15561,60.002,55.15,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CHACHAPOYAS,00000007,FUERZA POPULAR,10373,39.998000000000005,36.763000000000005,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,24971,70.218,66.27799999999999,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,00000007,FUERZA POPULAR,10591,29.781999999999996,28.111000000000004,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,8374,61.650999999999996,57.45099999999999,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,00000007,FUERZA POPULAR,5209,38.349,35.737,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,12528,61.769000000000005,57.852999999999994,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,00000007,FUERZA POPULAR,7754,38.231,35.806999999999995,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,RODRIGUEZ DE MENDOZA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,7461,58.6,53.888999999999996,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,RODRIGUEZ DE MENDOZA,00000007,FUERZA POPULAR,5271,41.4,38.072,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CONDORCANQUI,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,6741,86.846,82.61999999999999,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,CONDORCANQUI,00000007,FUERZA POPULAR,1021,13.154,12.514,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,UTCUBAMBA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,36201,65.551,61.776,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,UTCUBAMBA,00000007,FUERZA POPULAR,19025,34.449,32.466,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,HUARAZ,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,58483,63.85399999999999,58.977,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,HUARAZ,00000007,FUERZA POPULAR,33105,36.146,33.38399999999999,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,AIJA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,2325,62.199000000000005,58.935,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,AIJA,00000007,FUERZA POPULAR,1413,37.800999999999995,35.81699999999999,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,BOLOGNESI,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,7690,65.81700000000001,61.926,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,BOLOGNESI,00000007,FUERZA POPULAR,3994,34.183,32.163000000000004,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,CARHUAZ,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,18623,68.59,61.942,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,CARHUAZ,00000007,FUERZA POPULAR,8528,31.41,28.365,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,CASMA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,11035,42.053999999999995,38.93,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,CASMA,00000007,FUERZA POPULAR,15205,57.946,53.641,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,CORONGO,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,2174,59.824,56.688,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,CORONGO,00000007,FUERZA POPULAR,1460,40.176,38.07,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,HUAYLAS,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,13394,48.364,43.794000000000004,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,HUAYLAS,00000007,FUERZA POPULAR,14300,51.636,46.756,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,HUARI,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,27504,80.238,75.24000000000001,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,HUARI,00000007,FUERZA POPULAR,6774,19.761999999999997,18.531000000000002,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,MARISCAL LUZURIAGA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,8383,83.738,76.34100000000001,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,MARISCAL LUZURIAGA,00000007,FUERZA POPULAR,1628,16.261999999999997,14.826,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,PALLASCA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,7451,73.013,67.922,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,PALLASCA,00000007,FUERZA POPULAR,2754,26.987,25.105,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,POMABAMBA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,9061,78.193,70.17999999999999,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,POMABAMBA,00000007,FUERZA POPULAR,2527,21.807000000000002,19.572,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,RECUAY,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,7695,73.524,69.70100000000001,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,RECUAY,00000007,FUERZA POPULAR,2771,26.476,25.1,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,SANTA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,118677,48.909,44.603,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,SANTA,00000007,FUERZA POPULAR,123972,51.091,46.593,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,SIHUAS,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,9497,73.77499999999999,67.826,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,SIHUAS,00000007,FUERZA POPULAR,3376,26.224999999999998,24.111000000000004,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,YUNGAY,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,19705,67.94800000000001,61.545,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,YUNGAY,00000007,FUERZA POPULAR,9295,32.052,29.031000000000002,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,ANTONIO RAYMONDI,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,5056,86.516,81.195,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,ANTONIO RAYMONDI,00000007,FUERZA POPULAR,788,13.484,12.655000000000001,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,CARLOS FERMIN FITZCARRALD,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,6462,79.20100000000001,70.801,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,CARLOS FERMIN FITZCARRALD,00000007,FUERZA POPULAR,1697,20.799,18.593,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,ASUNCION,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,2860,77.57,70.04700000000001,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,ASUNCION,00000007,FUERZA POPULAR,827,22.43,20.255,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,HUARMEY,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,7621,45.231,43.059,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,HUARMEY,00000007,FUERZA POPULAR,9228,54.769000000000005,52.139,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
ANCASH,OCROS,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,1642,48.71,47.049,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
