departamento,provincia,CCODI_UBIGEO,CONTABILIZA,CONT_NORMAL,IMPUGNADA,ERROR_MAT,MESAS_INSTALADAS,ACTAS_PROCESADAS,SOL_NULIDAD,ILEGIBLE,PENDIENTE,OTRAS_OBS,SIN_DATOS,CONT_ANULADA,POR_PROCESAR,EXTRAVIADA,SINIESTRADA,INCOMPLETA,SIN_FIRMA,A_INSTALAR,MESAS_NO_INST,FUSIONADAS,NTOTAL_AUTO,MESAS_HABILES,TOT_CIUDADANOS_VOTARON,ELECTORES_HABIL,ELECTORES_HABIL_50,TOTAL_JEE,updated,avance
AMAZONAS,CHACHAPOYAS,010100,149,149,1,0,150,150,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,150,28216,40452,20231,1,2021-06-08T01:18:00Z,94.2231
AMAZONAS,BAGUA,010200,214,214,1,0,217,217,0,0,5,1,0,0,5,0,0,1,0,222,0,0,0,222,37676,59945,29973,3,2021-06-08T01:18:00Z,94.2231
AMAZONAS,BONGARA,010300,77,77,0,0,77,77,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,77,14576,20917,10461,0,2021-06-08T01:18:00Z,94.2231
AMAZONAS,LUYA,010400,132,132,0,1,133,133,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,133,21655,34793,17403,1,2021-06-08T01:18:00Z,94.2231
AMAZONAS,RODRIGUEZ DE MENDOZA,010500,81,81,0,2,83,83,0,0,2,0,0,0,2,0,0,0,0,85,0,0,0,85,13845,21803,10904,2,2021-06-08T01:18:00Z,94.2231
AMAZONAS,CONDORCANQUI,010600,66,66,1,0,68,68,0,0,70,0,0,0,70,0,0,0,1,138,0,0,0,138,8159,18721,9361,2,2021-06-08T01:18:00Z,94.2231
AMAZONAS,UTCUBAMBA,010700,297,297,1,2,300,300,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,300,58600,85331,42667,3,2021-06-08T01:18:00Z,94.2231
ANCASH,HUARAZ,020100,445,445,0,1,446,446,0,0,0,0,0,0,0,0,0,0,0,446,0,0,0,446,99163,129060,64533,1,2021-06-08T01:18:00Z,94.2231
ANCASH,AIJA,020200,24,24,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,24,3945,5817,2911,0,2021-06-08T01:18:00Z,94.2231
ANCASH,BOLOGNESI,020300,71,71,0,0,71,71,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,71,12418,18779,9395,0,2021-06-08T01:18:00Z,94.2231
ANCASH,CARHUAZ,020400,136,136,0,1,137,137,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,137,30065,38383,19195,1,2021-06-08T01:18:00Z,94.2231
ANCASH,CASMA,020500,125,125,0,1,128,128,0,1,0,1,0,0,0,0,0,0,0,128,0,0,0,128,28346,36561,18282,3,2021-06-08T01:18:00Z,94.2231
ANCASH,CORONGO,020600,24,24,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,24,3835,5688,2846,0,2021-06-08T01:18:00Z,94.2231
